Sample,Cell_ID,nr2f2_dots,rpz5_dots
Eight,10,1.00,52.00
Eight,16,159.00,14.00
Eight,32,99.00,1.00
Eight,34,0.00,11.00
Eight,35,7.00,17.00
Eight,37,106.00,11.00
Eight,38,9.00,32.00
Eight,46,1.00,0.00
Eight,71,1.00,3.00
Eight,72,4.00,13.00
Eight,73,0.00,51.00
Eight,75,5.00,60.00
Nine,6,109.00,15.00
Nine,7,47.00,11.00
Nine,10,27.00,26.00
Nine,11,3.00,52.00
Nine,12,81.00,2.00
Nine,22,1.00,1.00
Nine,23,5.00,26.00
Nine,26,2.00,38.00
Nine,27,7.00,24.00
Nine,29,72.00,4.00
Nine,31,21.00,16.00
Nine,37,3.00,0.00
Nine,38,7.00,1.00
Nine,41,5.00,28.00
Nine,63,24.00,37.00
Nine,64,94.00,25.00
Six,11,3.00,44.00
Six,15,1.00,4.00
Six,16,3.00,9.00
Six,25,10.00,36.00
Six,27,45.00,2.00
Six,28,3.00,2.00
Six,33,1.00,16.00
Six,34,1.00,21.00
Six,35,1.00,51.00
Six,38,1.00,50.00
Six,47,112.00,6.00
Six,70,0.00,45.00
Six,71,1.00,53.00
Six,72,2.00,39.00
Fourteen,11,0.00,44.00
Fourteen,14,87.00,0.00
Fourteen,16,9.00,24.00
Fourteen,31,101.00,4.00
Fourteen,35,4.00,32.00
Fourteen,36,9.00,55.00
Fourteen,38,8.00,32.00
Fourteen,46,5.00,15.00
Fourteen,47,79.00,3.00
Fourteen,68,87.00,5.00
Fourteen,69,92.00,1.00
Fourteen,70,3.00,61.00
Twelve,24,19.00,25.00
Twelve,25,2.00,2.00
Twelve,26,2.00,23.00
Twelve,28,0.00,54.00
Twelve,48,1.00,56.00
Twelve,49,65.00,33.00
Twelve,50,47.00,27.00
Twelve,51,77.00,3.00
Twelve,55,0.00,0.00
Twelve,57,85.00,4.00
Twelve,59,25.00,0.00
Twelve,60,3.00,0.00
Twelve,61,3.00,5.00
Twelve,64,48.00,2.00
Twelve,71,21.00,0.00
Twelve,72,20.00,1.00
Twelve,73,14.00,0.00
Twelve,110,49.00,5.00
Twelve,111,5.00,30.00
Two,11,3.00,39.00
Two,33,5.00,41.00
Two,36,90.00,6.00
Two,48,0.00,0.00
Two,50,2.00,15.00
Two,59,0.00,18.00
Two,70,1.00,31.00
Two,77,0.00,0.00
Two,78,8.00,0.00
Two,79,35.00,1.00
Two,80,43.00,0.00
Two,83,7.00,0.00
Two,114,0.00,0.00
Two,118,35.00,0.00
Two,134,89.00,4.00
Two,136,99.00,3.00
Two,137,2.00,6.00
Two,139,0.00,70.00
Two,141,84.00,4.00
Two,142,100.00,6.00
Two,143,4.00,6.00
Two,144,2.00,46.00
Two,145,4.00,63.00
One,3,6.00,2.00
One,19,1.00,0.00
One,20,0.00,0.00
One,21,0.00,35.00
One,46,5.00,11.00
One,66,2.00,56.00
One,71,0.00,8.00
One,82,69.00,3.00
One,178,3.00,0.00
One,179,2.00,37.00
One,180,29.00,12.00
One,181,1.00,19.00
One,182,36.00,0.00
One,183,18.00,5.00
One,184,97.00,7.00
One,185,110.00,4.00
One,186,5.00,2.00
One,187,13.00,6.00
One,188,15.00,0.00
One,189,87.00,2.00
One,191,2.00,51.00
One,192,0.00,40.00
Eleven,10,85.00,1.00
Eleven,12,1.00,39.00
Eleven,24,61.00,0.00
Eleven,26,13.00,55.00
Eleven,29,103.00,2.00
Eleven,32,74.00,1.00
Eleven,33,1.00,29.00
Eleven,35,5.00,0.00
Eleven,36,5.00,6.00
Eleven,41,50.00,1.00
Eleven,45,3.00,0.00
Eleven,77,126.00,6.00
Eleven,78,131.00,1.00
Eleven,79,86.00,2.00
Eleven,80,96.00,4.00
Eleven,81,87.00,1.00
Eleven,82,3.00,0.00
Eleven,83,5.00,50.00
Four ,6,41.00,0.00
Four ,9,7.00,13.00
Four ,16,3.00,40.00
Four ,17,7.00,34.00
Four ,40,3.00,1.00
Four ,41,1.00,6.00
Four ,43,70.00,0.00
Four ,49,128.00,0.00
Four ,72,125.00,3.00
Four ,74,2.00,26.00
Four ,75,102.00,4.00
Four ,77,3.00,36.00
Four ,82,71.00,0.00
Four ,85,95.00,2.00
Four ,88,11.00,22.00
Four ,89,1.00,0.00
Four ,110,1.00,14.00
Four ,169,72.00,0.00
Four ,170,57.00,1.00
Four ,171,75.00,0.00
Four ,172,68.00,1.00
Four ,173,95.00,0.00
Four ,174,9.00,37.00
Five,21,12.00,14.00
Five,43,57.00,1.00
Five,44,0.00,38.00
Five,45,13.00,3.00
Five,47,68.00,3.00
Five,56,32.00,2.00
Five,58,9.00,57.00
Five,68,1.00,1.00
Five,69,2.00,8.00
Five,70,2.00,7.00
Five,72,48.00,0.00
Five,113,66.00,1.00
Five,114,65.00,6.00
Five,115,5.00,40.00
Five,116,0.00,70.00
Five,117,15.00,42.00
Three,17,4.00,20.00
Three,32,9.00,1.00
Three,44,2.00,2.00
Three,93,11.00,0.00
Three,96,2.00,11.00
Three,97,1.00,43.00
Three,104,71.00,4.00
Three,107,14.00,54.00
Three,117,17.00,4.00
Three,119,2.00,0.00
Three,122,39.00,0.00
Three,123,8.00,0.00
Three,126,52.00,1.00
Three,128,0.00,0.00
Three,130,6.00,0.00
Three,134,42.00,0.00
Three,153,30.00,0.00
Three,186,26.00,15.00
Three,187,93.00,4.00
Three,188,1.00,41.00
Three,189,41.00,1.00
Ten,42,2.00,18.00
Ten,43,0.00,35.00
Ten,49,1.00,56.00
Ten,50,1.00,48.00
Ten,51,0.00,43.00
Ten,68,2.00,43.00
Ten,71,25.00,4.00
Ten,74,6.00,43.00
Ten,83,41.00,2.00
Ten,87,29.00,0.00
Ten,90,4.00,80.00
Ten,95,34.00,1.00
Ten,97,10.00,0.00
Ten,141,1.00,2.00
Ten,142,1.00,26.00
Ten,143,3.00,22.00
Ten,144,49.00,1.00
Ten,145,71.00,3.00
Ten,146,0.00,43.00
Ten,147,3.00,30.00
Ten,149,57.00,2.00
Ten,150,36.00,3.00
Seven,8,16.00,0.00
Seven,9,1.00,30.00
Seven,12,4.00,26.00
Seven,14,4.00,33.00
Seven,19,23.00,0.00
Seven,22,30.00,0.00
Seven,23,4.00,8.00
Seven,24,34.00,0.00
Seven,25,67.00,2.00
Seven,36,41.00,0.00
Seven,44,2.00,39.00
Seven,45,3.00,23.00
Seven,46,1.00,26.00
Seven,47,1.00,23.00
Seven,48,3.00,17.00
Seven,51,55.00,2.00
Seven,82,38.00,5.00
